Дата,Цена
2023-09-21 00:00:00+00:00,123.0
2023-09-22 00:00:00+00:00,125.625
2023-09-25 00:00:00+00:00,125.6
2023-09-26 00:00:00+00:00,127.5
2023-09-27 00:00:00+00:00,128.075
2023-09-28 00:00:00+00:00,129.025
2023-09-29 00:00:00+00:00,128.5
2023-10-02 00:00:00+00:00,126.55
2023-10-03 00:00:00+00:00,125.95
2023-10-04 00:00:00+00:00,124.45
2023-10-05 00:00:00+00:00,123.975
2023-10-06 00:00:00+00:00,125.75
2023-10-09 00:00:00+00:00,127.35
2023-10-10 00:00:00+00:00,126.7
2023-10-11 00:00:00+00:00,124.225
2023-10-12 00:00:00+00:00,125.875
2023-10-13 00:00:00+00:00,126.9
2023-10-16 00:00:00+00:00,129.9
2023-10-17 00:00:00+00:00,130.975
2023-10-18 00:00:00+00:00,130.6
2023-10-19 00:00:00+00:00,130.85
2023-10-20 00:00:00+00:00,129.975
2023-10-23 00:00:00+00:00,130.55
2023-10-24 00:00:00+00:00,133.075
2023-10-25 00:00:00+00:00,131.95
2023-10-26 00:00:00+00:00,127.75
2023-10-27 00:00:00+00:00,126.65
2023-10-30 00:00:00+00:00,125.8
2023-10-31 00:00:00+00:00,126.55
2023-11-01 00:00:00+00:00,126.0
2023-11-02 00:00:00+00:00,125.275
2023-11-03 00:00:00+00:00,124.5
2023-11-06 00:00:00+00:00,126.825
2023-11-07 00:00:00+00:00,125.85
2023-11-08 00:00:00+00:00,126.075
2023-11-09 00:00:00+00:00,125.025
2023-11-10 00:00:00+00:00,124.525
2023-11-13 00:00:00+00:00,123.875
2023-11-14 00:00:00+00:00,120.525
2023-11-15 00:00:00+00:00,122.175
2023-11-16 00:00:00+00:00,120.75
2023-11-17 00:00:00+00:00,121.925
2023-11-20 00:00:00+00:00,122.075
2023-11-21 00:00:00+00:00,122.4
2023-11-22 00:00:00+00:00,126.0
2023-11-23 00:00:00+00:00,124.55
2023-11-24 00:00:00+00:00,124.225
2023-11-27 00:00:00+00:00,121.5
2023-11-28 00:00:00+00:00,120.65
2023-11-29 00:00:00+00:00,119.5
2023-11-30 00:00:00+00:00,119.425
2023-12-01 00:00:00+00:00,118.05
2023-12-04 00:00:00+00:00,112.725
2023-12-05 00:00:00+00:00,114.425
2023-12-06 00:00:00+00:00,110.35
2023-12-07 00:00:00+00:00,112.3
2023-12-08 00:00:00+00:00,111.65
2023-12-11 00:00:00+00:00,110.225
2023-12-12 00:00:00+00:00,111.75
2023-12-13 00:00:00+00:00,113.925
2023-12-14 00:00:00+00:00,113.0
2023-12-15 00:00:00+00:00,117.425
2023-12-18 00:00:00+00:00,117.3
2023-12-19 00:00:00+00:00,117.75
2023-12-20 00:00:00+00:00,116.525
2023-12-21 00:00:00+00:00,114.675
2023-12-22 00:00:00+00:00,114.875
2023-12-25 00:00:00+00:00,115.975
2023-12-26 00:00:00+00:00,115.8
2023-12-27 00:00:00+00:00,114.375
2023-12-28 00:00:00+00:00,113.475
2023-12-29 00:00:00+00:00,113.4
2024-01-03 00:00:00+00:00,115.125
2024-01-04 00:00:00+00:00,115.55
2024-01-05 00:00:00+00:00,120.0
2024-01-08 00:00:00+00:00,124.275
2024-01-09 00:00:00+00:00,123.5
2024-01-10 00:00:00+00:00,122.175
2024-01-11 00:00:00+00:00,125.95
2024-01-12 00:00:00+00:00,125.125
2024-01-15 00:00:00+00:00,124.3
2024-01-16 00:00:00+00:00,124.925
2024-01-17 00:00:00+00:00,124.975
2024-01-18 00:00:00+00:00,122.575
2024-01-19 00:00:00+00:00,122.75
2024-01-22 00:00:00+00:00,124.175
2024-01-23 00:00:00+00:00,122.975
2024-01-24 00:00:00+00:00,120.85
2024-01-25 00:00:00+00:00,121.975
2024-01-26 00:00:00+00:00,120.75
